[2024-11-17 12:48:28] Dados da tabela portal_vagas_estagio foram apagados.
[2024-11-17 12:48:31] Erro na linha 349, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 350, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 351, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 352, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 353, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 354, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 355, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 356, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 357, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 358, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 359, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 360, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 361, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 362, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 363, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 364, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 365, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 366, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 367, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 368, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 369, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 370, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 371, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 372, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 373, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 374, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 375, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 376, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 377, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 378, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 379, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 380, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 381, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 382, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 383, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 384, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 385, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 386, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 387, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 388, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 389, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 390, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 391, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 392, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 392, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 393, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 394, coluna G: Célula vazia, sem informação.
